id,nombre,grado,num_premios,programa,puntaje_mat,puntaje_ing,puntaje_ciencias
49,Sara Padilla,6,0,Vocacional,52,89,65
50,Mariana Roman,6,1,Academico,48,99,76
51,Paula Galindo,6,0,Academico,45,100,87
52,Javier Mosquera,6,0,Vocacional,40,87,56
53,Carolina Alcazar,6,0,General,46,54,65
54,Juan Collazos,6,3,Academico,50,65,76
55,Mario Muñoz,6,0,Academico,43,66,87
56,John Mosquera,7,0,General,43,24,56
57,Sara Monroy,7,1,Academico,54,54,86
58,Saray Medina,7,1,General,54,43,88
59,Santiago Morales,7,0,Vocacional,45,54,97
60,Luca Sanchez,7,0,General,54,65,59
61,Brayan Castro,7,0,Vocacional,47,67,10
62,Kiara Guerrero,7,1,Academico,45,86,34
63,Isabela Clavijo,7,0,Academico,43,54,60
64,Carlos Silva,7,1,Vocacional,40,65,65
65,Sebastian Fong,7,0,Vocacional,52,18,59
66,Yerly Sanchez,7,1,Vocacional,52,86,10
67,Juliana Alcazar,7,0,General,45,19,34
68,Salome Gutierrez,7,0,Academico,49,71,60
69,Valeria Yela,7,1,Academico,53,64,65
70,Sebastian Belalcazar,7,0,General,54,52,35
71,Maria Tello,7,2,Academico,50,71,55
72,Ana Gutierrez,7,0,Academico,48,41,47
73,Estefania Lopez,7,0,Academico,51,56,82
74,Isaac Piedrahita,7,0,General,41,66,61
75,Samuel Sanchez,7,1,Vocacional,51,81,72
76,Peter Parker,7,0,General,46,26,45
77,Norman Roman,7,0,Vocacional,49,71,64
78,Alejandro Alba,7,0,General,46,65,15
79,Paula Alba,7,0,General,61,67,76
80,Sanson Ramos,7,0,Academico,45,61,77
81,Julieta Casas,7,0,Vocacional,54,42,89
82,Pablo Lopez,7,0,Academico,54,59,99
83,Juan Torres,7,1,Academico,51,78,100
84,Jesus Madroñero,7,0,General,49,11,87
85,Mercedes Garcia,7,0,Vocacional,56,41,54
86,Gael Castillo,7,0,Academico,53,41,65
87,Marco Polo,7,1,General,49,44,66
88,Clark Kent,7,0,General,57,55,24
89,James Gomez,7,0,General,42,40,54
90,Raquel Ortega,7,0,Vocacional,46,42,40
91,Dario Silva,7,0,Vocacional,45,46,46
92,Daniel Mendez,7,0,General,55,40,50
93,Carolina Aguilar,7,0,Vocacional,56,33,43
94,Sofia Paredes,7,0,Academico,46,46,43
95,Oscar Paredes,7,0,Vocacional,41,40,54
96,Daniela Cordero,7,0,General,52,38,54
97,Rosario Leon,7,1,Academico,57,44,45
98,Jose Santos,7,0,Vocacional,53,37,54
99,Javier Ibarra,7,1,Vocacional,51,40,47
100,Samuel Delgado,8,0,General,57,39,45
101,Mariana Miranda,8,0,Academico,51,43,43
102,Fernando Clavijo,8,0,Vocacional,40,38,40
103,Karen Vargas,8,0,Vocacional,50,45,41
104,Eduardo Rios,8,0,Vocacional,57,39,44
105,Valentina Ponce,8,0,General,35,42,55
106,Carlos Hernandez,8,0,Academico,49,45,40
107,Jose Parker,8,0,General,50,40,42
108,Jimena Santos,8,1,General,55,40,46
109,Patricia Aguilar,8,0,Academico,48,50,40
110,Samuel Aguilera,8,0,Academico,52,49,33
111,Eren Guzman,8,1,Academico,53,44,46
112,Raul Morales,8,1,Academico,59,46,40
113,Francisco Ibarra,8,2,Academico,66,46,38
114,Gabriela Vargas,8,0,Academico,57,41,44
115,Manuel Villareal,8,1,Academico,54,42,37
116,Carlos Huerta,8,0,Vocacional,57,47,40
117,Fanor Vermudez,8,1,Academico,54,43,39
118,Antonio Rojas,8,0,Academico,54,49,43
119,Andrea Guerra,8,0,Academico,54,51,38
120,Maria Restrepo,8,2,Academico,49,46,45
121,Emanuel Sanchez,8,1,Vocacional,51,49,39
122,Mario Juarez,8,3,Academico,58,46,42
123,Miguel Cervantes,8,1,Academico,60,61,45
124,Juana Mancha,8,0,Academico,51,45,40
125,Julieta Silva,8,0,Academico,63,54,50
126,Jesus Garcia,8,1,Academico,50,54,53
127,Luis Hernandez,9,1,Academico,53,51,53
128,  Odiseo Itaca,9,0,Academico,53,49,55
129,Penelope Hernandez,9,0,Academico,55,56,56
130,Gloria Manzano,9,1,Academico,56,53,49
131,Manuela Manzano,9,0,Academico,49,49,61
132,Nicolle Garcia,9,1,Academico,61,57,49
133,Paula Alcazar,9,0,General,49,42,57
134,Adan Garcia,9,0,Academico,57,46,66
135,Jose Paredes,9,0,Academico,66,45,56
136,Javier Vargas,9,0,General,56,55,60
137,Samuel Ibarra,9,3,Academico,60,56,57
138,Daniel Mendez,9,1,Academico,57,46,59
139,Juliana Torres,9,0,Academico,59,41,58
140,Isabela Rojas,9,0,Academico,58,52,57
141,Esteban Solarte,9,0,Academico,57,57,64
142,Juan Bonilla,9,3,Academico,64,53,60
143,Luca Sanchez,9,0,General,60,51,54
144,Brayan Castro,9,0,General,54,50,61
145,Sebastian Fong,9,1,Academico,61,57,58
146,Valeria Yela,9,1,General,58,35,51
147,Maria Tello,9,0,General,56,49,49
148,Julieta Casas,9,0,General,60,50,56
149,Aquiles Garcia,9,0,Academico,55,55,53
150,Tiago Bedoya,9,3,Academico,57,48,49
151,Juan Medina,9,0,Academico,62,52,57
152,Alejandro Caribia,10,0,Academico,56,53,42
153,Isaac Ariza,10,0,Academico,51,59,46
154,Laura Acosta,10,2,Vocacional,56,66,45
155,Sergio Acosta,10,0,General,61,57,55
156,Adolfo Sanchez,10,1,Academico,63,54,56
157,Sebastian Gomez,10,5,Academico,61,57,46
158,Santiago Gomez,10,0,Academico,67,54,41
159,Santiago Rojas,10,0,Academico,48,54,52
160,Juliana Castro,10,1,Academico,61,54,57
161,Isabela Restrepo,10,0,General,57,49,53
162,Maria Vergara,10,0,General,48,51,51
163,Fernando Gallego,10,2,Academico,65,58,50
164,Cassandra Nova,10,4,Academico,62,56,57
165,Wanda Wilson,10,1,Academico,61,51,35
166,Jay Wilson,10,0,Vocacional,53,56,49
167,Aaron Davis,10,1,General,58,61,50
168,Abigail Brand,10,1,Academico,64,63,55
169,Aleksei Romanof,10,3,Academico,65,61,48
170,Alejandro Hoff,10,1,General,56,67,52
171,Samuel Tolkien,10,1,General,63,48,53
172,Cesar Roman,10,3,Academico,57,61,59
173,Camilo Danvers,10,2,Academico,72,57,50
174,Carol Danvers,10,0,Vocacional,66,48,55
175,Cecilia Reyes,10,0,Academico,62,65,48
176,Daniela Rojas,10,1,Academico,58,62,52
177,Daniel Mendez,10,1,Academico,63,61,53
178,Carolina Aguilar,10,3,Academico,64,53,59
179,Sofia Paredes,10,2,Academico,72,58,66
180,Oscar Paredes,10,0,Academico,64,64,57
181,Carlos Piedrahita,11,6,Academico,69,65,54
182,Joshua Lores,11,4,Academico,70,66,57
183,Cristina Palmer,11,1,Academico,66,62,54
184,Daniel Rand,11,0,General,58,58,54
185,Dante Lewis,11,2,Academico,62,63,54
186,Homero Jefferson,11,2,Academico,67,64,49
187,Fausto Sanchez,11,1,Academico,64,72,58
188,David Ruales,11,2,Academico,63,64,64
189,Joan Quintero,11,1,Academico,68,69,65
190,Lucia Wells,11,1,Academico,75,70,56
191,Diana Pierce,11,0,Academico,69,66,63
192,Donald Trump,11,1,Academico,65,62,57
193,Fabian Medina,11,2,Academico,71,58,72
194,Alejandro Medina,11,5,Academico,52,63,66
195,Alejandra Alcazar,11,1,Academico,60,64,62
196,Felicia Hardy,11,2,Academico,71,72,58
197,Francis Ibarra,11,2,Vocacional,53,64,63
198,Franco Polo,11,1,Academico,71,69,63
199,Julian Castillo,11,0,Academico,72,70,64
200,Humberto Garcia,11,3,Academico,73,88,72
